sample,nonambig,all
CSU11990/2018/USA/CO/BE/LC/unknown/unknown/Mosquito-Culex,10953,10969
CSU12001/2018/USA/CO/FC/SW/unknown/unknown/Mosquito-Culex,10959,10969
CSU12036/2018/USA/CO/LV/LV/unknown/unknown/Mosquito-Culex,10956,10969
CSU12092/2018/USA/CO/FC/SW/unknown/unknown/Mosquito-Culex,10956,10969
CSU12093/2018/USA/CO/FC/SE/unknown/unknown/Mosquito-Culex,10960,10969
CSU12107/2018/USA/CO/LV/LV/unknown/unknown/Mosquito-Culex,10958,10969
CSU12147/2018/USA/CO/FC/SE/unknown/unknown/Mosquito-Culex,10961,10969
CSU12168/2018/USA/CO/BE/LC/unknown/unknown/Mosquito-Culex,10955,10969
CSU12173/2018/USA/CO/FC/NW/unknown/unknown/Mosquito-Culex,10159,10514
CSU12174/2018/USA/CO/FC/NW/unknown/unknown/Mosquito-Culex,10958,10969
CSU12175/2018/USA/CO/FC/NW/unknown/unknown/Mosquito-Culex,10789,10803
CSU12330/2018/USA/CO/LV/LV/unknown/unknown/Mosquito-Culex,10273,10969
CSU12338/2018/USA/CO/FC/NE/unknown/unknown/Mosquito-Culex,10959,10969
CSU12371/2018/USA/CO/FC/SE/unknown/unknown/Mosquito-Culex,10959,10969
CSU12401/2018/USA/CO/BE/LC/unknown/unknown/Mosquito-Culex,10957,10969
CSU12413/2018/USA/CO/FC/NW/unknown/unknown/Mosquito-Culex,10960,10969
CSU12416/2018/USA/CO/FC/SE/unknown/unknown/Mosquito-Culex,10954,10969
CSU12417/2018/USA/CO/FC/SE/unknown/unknown/Mosquito-Culex,10960,10969
CSU12418/2018/USA/CO/FC/SE/unknown/unknown/Mosquito-Culex,10960,10969
CSU12419/2018/USA/CO/FC/SE/unknown/unknown/Mosquito-Culex,10957,10969
CSU12427/2018/USA/CO/FC/NW/unknown/unknown/Mosquito-Culex,10916,10969
CSU12439/2018/USA/CO/FC/SW/unknown/unknown/Mosquito-Culex,10317,10969
CSU12445/2018/USA/CO/FC/SE/unknown/unknown/Mosquito-Culex,10793,10803
CSU12450/2018/USA/CO/LV/LV/unknown/unknown/Mosquito-Culex,10711,10969
CSU12459/2018/USA/CO/FC/NE/unknown/unknown/Mosquito-Culex,10880,10969
CSU12460/2018/USA/CO/FC/NE/unknown/unknown/Mosquito-Culex,10958,10969
CSU12466/2018/USA/CO/FC/NE/unknown/unknown/Mosquito-Culex,10335,10803
CSU12493/2018/USA/CO/FC/NE/unknown/unknown/Mosquito-Culex,10713,10969
CSU12497/2018/USA/CO/FC/NE/unknown/unknown/Mosquito-Culex,10959,10969
CSU12506/2018/USA/CO/FC/SE/unknown/unknown/Mosquito-Culex,10958,10969
CSU12509/2018/USA/CO/FC/SE/unknown/unknown/Mosquito-Culex,10793,10969
CSU12512/2018/USA/CO/FC/SE/unknown/unknown/Mosquito-Culex,10878,10969
CSU12519/2018/USA/CO/FC/SE/unknown/unknown/Mosquito-Culex,10338,10515
CSU12528/2018/USA/CO/FC/SE/unknown/unknown/Mosquito-Culex,10790,10803
CSU12529/2018/USA/CO/FC/SE/unknown/unknown/Mosquito-Culex,10446,10969
CSU12530/2018/USA/CO/FC/SE/unknown/unknown/Mosquito-Culex,10709,10969
CSU12531/2018/USA/CO/LV/LV/unknown/unknown/Mosquito-Culex,10790,10969
CSU12532/2018/USA/CO/FC/NW/unknown/unknown/Mosquito-Culex,10957,10969
CSU12543/2018/USA/CO/FC/NW/unknown/unknown/Mosquito-Culex,10958,10969
CSU12554/2018/USA/CO/FC/NW/unknown/unknown/Mosquito-Culex,10960,10969
CSU12563/2018/USA/CO/FC/SE/unknown/unknown/Mosquito-Culex,10795,10969
CSU12565/2018/USA/CO/FC/SE/unknown/unknown/Mosquito-Culex,10067,10514
CSU12567/2018/USA/CO/FC/SW/unknown/unknown/Mosquito-Culex,10955,10969
CSU12573/2018/USA/CO/FC/SW/unknown/unknown/Mosquito-Culex,10946,10969
CSU12575/2018/USA/CO/FC/SW/unknown/unknown/Mosquito-Culex,10357,10803
CSU12580/2018/USA/CO/FC/NE/unknown/unknown/Mosquito-Culex,10872,10969
CSU12581/2018/USA/CO/FC/NE/unknown/unknown/Mosquito-Culex,10790,10803
CSU12589/2018/USA/CO/FC/NW/unknown/unknown/Mosquito-Culex,10956,10969
CSU12599/2018/USA/CO/FC/NE/unknown/unknown/Mosquito-Culex,10953,10969
CSU12614/2018/USA/CO/FC/SE/unknown/unknown/Mosquito-Culex,10875,10969
CSU12623/2018/USA/CO/FC/SE/unknown/unknown/Mosquito-Culex,10303,10515
CSU12625/2018/USA/CO/FC/SE/unknown/unknown/Mosquito-Culex,10872,10969
CSU12632/2018/USA/CO/FC/SE/unknown/unknown/Mosquito-Culex,10697,10969
CSU12650/2018/USA/CO/FC/NW/unknown/unknown/Mosquito-Culex,10715,10969
CSU12658/2018/USA/CO/FC/NW/unknown/unknown/Mosquito-Culex,10965,10969
CSU12669/2018/USA/CO/FC/SW/unknown/unknown/Mosquito-Culex,10272,10969
CSU12677/2018/USA/CO/FC/SE/unknown/unknown/Mosquito-Culex,10957,10969
CSU12706/2018/USA/CO/FC/NW/unknown/unknown/Mosquito-Culex,10690,10969
CSU12726/2018/USA/CO/FC/SW/unknown/unknown/Mosquito-Culex,10966,10969
CSU12730/2018/USA/CO/FC/SE/unknown/unknown/Mosquito-Culex,10946,10969
CSU12731/2018/USA/CO/FC/SE/unknown/unknown/Mosquito-Culex,10716,10969
CSU12735/2018/USA/CO/FC/SE/unknown/unknown/Mosquito-Culex,10947,10969
CSU12737/2018/USA/CO/FC/SE/unknown/unknown/Mosquito-Culex,10955,10969
CSU12738/2018/USA/CO/FC/SE/unknown/unknown/Mosquito-Culex,10954,10969
CSU12739/2018/USA/CO/FC/SE/unknown/unknown/Mosquito-Culex,10956,10969
CSU12744/2018/USA/CO/FC/SE/unknown/unknown/Mosquito-Culex,10946,10969
CSU12750/2018/USA/CO/FC/SE/unknown/unknown/Mosquito-Culex,10959,10969
CSU12755/2018/USA/CO/FC/NE/unknown/unknown/Mosquito-Culex,10953,10969
CSU12768/2018/USA/CO/FC/NE/unknown/unknown/Mosquito-Culex,10790,10803
CSU12776/2018/USA/CO/FC/NE/unknown/unknown/Mosquito-Culex,10958,10969
CSU12779/2018/USA/CO/FC/NE/unknown/unknown/Mosquito-Culex,10951,10969
CSU12782/2018/USA/CO/FC/NE/unknown/unknown/Mosquito-Culex,10958,10969
CSU12790/2018/USA/CO/FC/NE/unknown/unknown/Mosquito-Culex,10708,10969
CSU12803/2018/USA/CO/FC/NE/unknown/unknown/Mosquito-Culex,10880,10969
CSU12825/2018/USA/CO/FC/NW/unknown/unknown/Mosquito-Culex,10967,10969
CSU12865/2018/USA/CO/FC/SW/unknown/unknown/Mosquito-Culex,10966,10969
CSU12868/2018/USA/CO/FC/NE/unknown/unknown/Mosquito-Culex,10720,10969
CSU12871/2018/USA/CO/FC/NE/unknown/unknown/Mosquito-Culex,10786,10803
CSU12890/2018/USA/CO/FC/SE/unknown/unknown/Mosquito-Culex,10957,10969
CSU12892/2018/USA/CO/FC/SE/unknown/unknown/Mosquito-Culex,10959,10969
CSU12894/2018/USA/CO/FC/NW/unknown/unknown/Mosquito-Culex,10958,10969
CSU12900/2018/USA/CO/FC/NW/unknown/unknown/Mosquito-Culex,10786,10969
CSU13776/2019/USA/CO/LV/LV/unknown/unknown/Mosquito-Culex,10875,10969
CSU13782/2019/USA/CO/FC/NE/unknown/unknown/Mosquito-Culex,10958,10969
CSU13791/2019/USA/CO/FC/NE/unknown/unknown/Mosquito-Culex,10957,10969
CSU13798/2019/USA/CO/FC/SE/unknown/unknown/Mosquito-Culex,10712,10969
CSU13804/2019/USA/CO/FC/SE/unknown/unknown/Mosquito-Culex,10114,10443
CSU13808/2019/USA/CO/FC/SE/unknown/unknown/Mosquito-Culex,10958,10969
CSU13810/2019/USA/CO/FC/SE/unknown/unknown/Mosquito-Culex,10879,10969
CSU13831/2019/USA/CO/FC/NW/unknown/unknown/Mosquito-Culex,10716,10969
CSU13866/2019/USA/CO/FC/SW/unknown/unknown/Mosquito-Culex,10952,10969
CSU13877/2019/USA/CO/FC/NE/unknown/unknown/Mosquito-Culex,10913,10969
CSU13878/2019/USA/CO/FC/NE/unknown/unknown/Mosquito-Culex,10328,10969
CSU13880/2019/USA/CO/LV/LV/unknown/unknown/Mosquito-Culex,10959,10969
CSU13884/2019/USA/CO/FC/NE/unknown/unknown/Mosquito-Culex,10955,10969
CSU13886/2019/USA/CO/FC/NE/unknown/unknown/Mosquito-Culex,10540,10969
CSU13889/2019/USA/CO/FC/NW/unknown/unknown/Mosquito-Culex,10959,10969
CSU13894/2019/USA/CO/FC/NE/unknown/unknown/Mosquito-Culex,10628,10969
CSU13913/2019/USA/CO/FC/SE/unknown/unknown/Mosquito-Culex,10956,10969
CSU13931/2019/USA/CO/FC/SE/unknown/unknown/Mosquito-Culex,10959,10969
CSU13947/2019/USA/CO/FC/NW/unknown/unknown/Mosquito-Culex,10882,10969
CSU13954/2019/USA/CO/LV/LV/unknown/unknown/Mosquito-Culex,10878,10969
CSU13985/2019/USA/CO/FC/NE/unknown/unknown/Mosquito-Culex,10954,10969
CSU13999/2019/USA/CO/FC/NE/unknown/unknown/Mosquito-Culex,10289,10515
CSU14000/2019/USA/CO/FC/NE/unknown/unknown/Mosquito-Culex,10096,10514
CSU14002/2019/USA/CO/FC/NE/unknown/unknown/Mosquito-Culex,10715,10969
CSU14013/2019/USA/CO/FC/SE/unknown/unknown/Mosquito-Culex,10337,10515
CSU14047/2019/USA/CO/FC/NW/unknown/unknown/Mosquito-Culex,10130,10969
CSU14055/2019/USA/CO/FC/SE/unknown/unknown/Mosquito-Culex,9519,10969
CSU14077/2019/USA/CO/FC/SE/unknown/unknown/Mosquito-Culex,10474,10969
CSU14641/2020/USA/CO/FC/SE/unknown/unknown/Mosquito-Culex,10691,10969
CSU14775/2020/USA/CO/FC/SE/unknown/unknown/Mosquito-Culex,10275,10969
CSU14827/2020/USA/CO/BE/LC/unknown/unknown/Mosquito-Culex,10076,10514
CSU14907/2020/USA/CO/FC/SE/unknown/unknown/Mosquito-Culex,9153,10514
CSU14932/2020/USA/CO/LV/LV/unknown/unknown/Mosquito-Culex,10441,10969
CSU14940/2020/USA/CO/FC/SW/unknown/unknown/Mosquito-Culex,10038,10969
CSU14954/2020/USA/CO/FC/SW/unknown/unknown/Mosquito-Culex,9652,10514
CSU14964/2020/USA/CO/FC/NE/unknown/unknown/Mosquito-Culex,10292,10514
CSU14974/2020/USA/CO/LV/LV/unknown/unknown/Mosquito-Culex,9652,10514
CSU15001/2020/USA/CO/FC/SE/unknown/unknown/Mosquito-Culex,10725,10797
CSU15012/2020/USA/CO/FC/SE/unknown/unknown/Mosquito-Culex,9452,10514
CSU15019/2020/USA/CO/FC/SE/unknown/unknown/Mosquito-Culex,10050,10514
CSU15024/2020/USA/CO/FC/SE/unknown/unknown/Mosquito-Culex,10493,10969
CSU15025/2020/USA/CO/FC/SE/unknown/unknown/Mosquito-Culex,10717,10969
CSU15058/2020/USA/CO/FC/NW/unknown/unknown/Mosquito-Culex,10199,10969
CSU15061/2020/USA/CO/BE/LC/unknown/unknown/Mosquito-Culex,10130,10969
CSU15126/2020/USA/CO/FC/SE/unknown/unknown/Mosquito-Culex,10497,10969
CSU15129/2020/USA/CO/FC/SE/unknown/unknown/Mosquito-Culex,10711,10969
CSU15130/2020/USA/CO/FC/SE/unknown/unknown/Mosquito-Culex,10505,10969
CSU15131/2020/USA/CO/FC/SE/unknown/unknown/Mosquito-Culex,10696,10969
CSU15135/2020/USA/CO/FC/SE/unknown/unknown/Mosquito-Culex,10340,10515
CSU15137/2020/USA/CO/FC/SE/unknown/unknown/Mosquito-Culex,10717,10969
CSU15138/2020/USA/CO/FC/SE/unknown/unknown/Mosquito-Culex,10273,10970
CSU15142/2020/USA/CO/FC/SE/unknown/unknown/Mosquito-Culex,10815,10969
CSU15150/2020/USA/CO/FC/SE/unknown/unknown/Mosquito-Culex,10714,10969
CSU15153/2020/USA/CO/FC/SE/unknown/unknown/Mosquito-Culex,10515,10969
CSU15181/2020/USA/CO/FC/NW/unknown/unknown/Mosquito-Culex,9803,10969
CSU15193/2020/USA/CO/FC/SW/unknown/unknown/Mosquito-Culex,10719,10969
CSU15200/2020/USA/CO/FC/SE/unknown/unknown/Mosquito-Culex,10695,10969
CSU15214/2020/USA/CO/FC/NE/unknown/unknown/Mosquito-Culex,10078,10515
CSU15223/2020/USA/CO/FC/NE/unknown/unknown/Mosquito-Culex,10705,10969
CSU15258/2020/USA/CO/FC/SE/unknown/unknown/Mosquito-Culex,10471,10969
CSU15267/2020/USA/CO/FC/SE/unknown/unknown/Mosquito-Culex,9886,10514
CSU15269/2020/USA/CO/FC/SE/unknown/unknown/Mosquito-Culex,10336,10514
CSU15300/2020/USA/CO/FC/SE/unknown/unknown/Mosquito-Culex,10714,10969
CSU15303/2020/USA/CO/FC/SW/unknown/unknown/Mosquito-Culex,10706,10969
CSU15334/2020/USA/CO/LV/LV/unknown/unknown/Mosquito-Culex,10882,10969
CSU15900/2021/USA/CO/FC/SE/unknown/unknown/Mosquito-Culex,10284,10969
CSU16031/2021/USA/CO/FC/SE/unknown/unknown/Mosquito-Culex,10602,10969
CSU16036/2021/USA/CO/LV/LV/unknown/unknown/Mosquito-Culex,10695,10969
CSU16137/2021/USA/CO/FC/SE/unknown/unknown/Mosquito-Culex,10880,10969
CSU16146/2021/USA/CO/FC/SE/unknown/unknown/Mosquito-Culex,10948,10969
CSU16186/2021/USA/CO/BE/LC/unknown/unknown/Mosquito-Culex,10264,10969
CSU16297/2021/USA/CO/LV/LV/unknown/unknown/Mosquito-Culex,10136,10969
CSU16312/2021/USA/CO/FC/SE/unknown/unknown/Mosquito-Culex,10124,10969
CSU16316/2021/USA/CO/FC/SE/unknown/unknown/Mosquito-Culex,8802,10514
CSU16323/2021/USA/CO/FC/SE/unknown/unknown/Mosquito-Culex,10265,10513
CSU16337/2021/USA/CO/FC/SE/unknown/unknown/Mosquito-Culex,10100,10969
CSU16344/2021/USA/CO/FC/SE/unknown/unknown/Mosquito-Culex,10465,10969
CSU16347/2021/USA/CO/FC/SE/unknown/unknown/Mosquito-Culex,10880,10969
CSU16389/2021/USA/CO/BE/LC/unknown/unknown/Mosquito-Culex,10525,10969
CSU16403/2021/USA/CO/BE/LC/unknown/unknown/Mosquito-Culex,10503,10969
CSU16447/2021/USA/CO/FC/SW/unknown/unknown/Mosquito-Culex,10956,10969
CSU16450/2021/USA/CO/FC/SW/unknown/unknown/Mosquito-Culex,10673,10969
CSU16461/2021/USA/CO/FC/SE/unknown/unknown/Mosquito-Culex,10714,10969
CSU16485/2021/USA/CO/LV/LV/unknown/unknown/Mosquito-Culex,10719,10969
CSU16498/2021/USA/CO/FC/NE/unknown/unknown/Mosquito-Culex,9581,10969
CSU16535/2021/USA/CO/FC/NE/unknown/unknown/Mosquito-Culex,9339,10969
CSU16549/2021/USA/CO/LV/LV/unknown/unknown/Mosquito-Culex,10622,10969
CSU16555/2021/USA/CO/FC/SE/unknown/unknown/Mosquito-Culex,10697,10969
CSU16562/2021/USA/CO/FC/SE/unknown/unknown/Mosquito-Culex,10013,10969
CSU16566/2021/USA/CO/FC/SE/unknown/unknown/Mosquito-Culex,10468,10969
CSU16577/2021/USA/CO/FC/SE/unknown/unknown/Mosquito-Culex,10882,10969
CSU16580/2021/USA/CO/FC/SE/unknown/unknown/Mosquito-Culex,10528,10969
CSU16582/2021/USA/CO/FC/SE/unknown/unknown/Mosquito-Culex,10622,10969
CSU16590/2021/USA/CO/FC/SE/unknown/unknown/Mosquito-Culex,10875,10969
CSU16593/2021/USA/CO/FC/SE/unknown/unknown/Mosquito-Culex,10707,10969
CSU16605/2021/USA/CO/BE/LC/unknown/unknown/Mosquito-Culex,10702,10969
CSU16631/2021/USA/CO/FC/SE/unknown/unknown/Mosquito-Culex,10142,10515
CSU16650/2021/USA/CO/FC/SW/unknown/unknown/Mosquito-Culex,10714,10969
CSU16653/2021/USA/CO/FC/SW/unknown/unknown/Mosquito-Culex,10689,10969
CSU16656/2021/USA/CO/FC/SW/unknown/unknown/Mosquito-Culex,10529,10969
CSU16658/2021/USA/CO/LV/LV/unknown/unknown/Mosquito-Culex,10647,10969
CSU16673/2021/USA/CO/FC/NE/unknown/unknown/Mosquito-Culex,10714,10969
CSU16674/2021/USA/CO/FC/NE/unknown/unknown/Mosquito-Culex,10666,10969
CSU16677/2021/USA/CO/FC/NW/unknown/unknown/Mosquito-Culex,10507,10969
CSU16683/2021/USA/CO/FC/NE/unknown/unknown/Mosquito-Culex,10510,10969
CSU16692/2021/USA/CO/FC/NE/unknown/unknown/Mosquito-Culex,10529,10969
CSU16712/2021/USA/CO/FC/NE/unknown/unknown/Mosquito-Culex,10469,10969
CSU16722/2021/USA/CO/FC/SE/unknown/unknown/Mosquito-Culex,8931,10970
CSU16728/2021/USA/CO/FC/SE/unknown/unknown/Mosquito-Culex,10046,10969
CSU16740/2021/USA/CO/FC/SE/unknown/unknown/Mosquito-Culex,10496,10514
CSU16741/2021/USA/CO/FC/SE/unknown/unknown/Mosquito-Culex,8914,10514
CSU16748/2021/USA/CO/FC/SE/unknown/unknown/Mosquito-Culex,9556,10969
CSU16750/2021/USA/CO/FC/SE/unknown/unknown/Mosquito-Culex,9801,10514
CSU16753/2021/USA/CO/LV/LV/unknown/unknown/Mosquito-Culex,8801,9595
CSU4030/2013/USA/CO/FC/SE/unknown/unknown/Mosquito-Culex,10715,10969
CSU4076/2013/USA/CO/LV/LV/unknown/unknown/Mosquito-Culex,10714,10969
CSU4091/2013/USA/CO/FC/SE/unknown/unknown/Mosquito-Culex,10953,10969
CSU4193/2013/USA/CO/FC/SE/unknown/unknown/Mosquito-Culex,10287,10969
CSU4209/2013/USA/CO/FC/NE/unknown/unknown/Mosquito-Culex,10001,10969
CSU4234/2013/USA/CO/FC/SE/unknown/unknown/Mosquito-Culex,10956,10969
CSU4237/2013/USA/CO/FC/SE/unknown/unknown/Mosquito-Culex,10714,10969
CSU4243/2013/USA/CO/LV/LV/unknown/unknown/Mosquito-Culex,10713,10969
CSU4247/2013/USA/CO/FC/SE/unknown/unknown/Mosquito-Culex,9073,9920
CSU4253/2013/USA/CO/FC/SE/unknown/unknown/Mosquito-Culex,10960,10969
CSU4285/2013/USA/CO/FC/SW/unknown/unknown/Mosquito-Culex,10718,10969
CSU4289/2013/USA/CO/LV/LV/unknown/unknown/Mosquito-Culex,10716,10969
CSU4336/2013/USA/CO/LV/LV/unknown/unknown/Mosquito-Culex,9845,9920
CSU4352/2013/USA/CO/LV/LV/unknown/unknown/Mosquito-Culex,10792,10969
CSU4365/2013/USA/CO/LV/LV/unknown/unknown/Mosquito-Culex,10694,10969
CSU4372/2013/USA/CO/FC/SE/unknown/unknown/Mosquito-Culex,10880,10969
CSU4377/2013/USA/CO/FC/SE/unknown/unknown/Mosquito-Culex,10957,10969
CSU4384/2013/USA/CO/FC/SE/unknown/unknown/Mosquito-Culex,10958,10969
CSU4385/2013/USA/CO/FC/SE/unknown/unknown/Mosquito-Culex,10960,10969
CSU4391/2013/USA/CO/LV/LV/unknown/unknown/Mosquito-Culex,10884,10969
CSU4395/2013/USA/CO/FC/SE/unknown/unknown/Mosquito-Culex,10937,10969
CSU4396/2013/USA/CO/FC/SE/unknown/unknown/Mosquito-Culex,10793,10969
CSU4413/2013/USA/CO/FC/SE/unknown/unknown/Mosquito-Culex,10286,10969
CSU4434/2013/USA/CO/LV/LV/unknown/unknown/Mosquito-Culex,10337,10514
CSU4437/2013/USA/CO/LV/LV/unknown/unknown/Mosquito-Culex,10719,10969
CSU4439/2013/USA/CO/FC/SE/unknown/unknown/Mosquito-Culex,10878,10969
CSU4441/2013/USA/CO/FC/SE/unknown/unknown/Mosquito-Culex,10716,10969
CSU4450/2013/USA/CO/FC/SE/unknown/unknown/Mosquito-Culex,10101,10969
CSU4455/2013/USA/CO/LV/LV/unknown/unknown/Mosquito-Culex,10717,10969
CSU4456/2013/USA/CO/LV/LV/unknown/unknown/Mosquito-Culex,10950,10969
CSU4470/2013/USA/CO/LV/LV/unknown/unknown/Mosquito-Culex,10717,10969
CSU4473/2013/USA/CO/FC/NW/unknown/unknown/Mosquito-Culex,10883,10969
CSU4474/2013/USA/CO/FC/NW/unknown/unknown/Mosquito-Culex,10716,10969
CSU4485/2013/USA/CO/LV/LV/unknown/unknown/Mosquito-Culex,10319,10514
CSU4488/2013/USA/CO/LV/LV/unknown/unknown/Mosquito-Culex,10881,10969
CSU4491/2013/USA/CO/LV/LV/unknown/unknown/Mosquito-Culex,10710,10969
CSU4496/2013/USA/CO/LV/LV/unknown/unknown/Mosquito-Culex,10875,10969
CSU4498/2013/USA/CO/LV/LV/unknown/unknown/Mosquito-Culex,10882,10969
CSU4501/2013/USA/CO/FC/SE/unknown/unknown/Mosquito-Culex,10951,10969
CSU4507/2013/USA/CO/FC/SW/unknown/unknown/Mosquito-Culex,10960,10969
CSU4509/2013/USA/CO/FC/SW/unknown/unknown/Mosquito-Culex,10788,10803
CSU4515/2013/USA/CO/FC/SW/unknown/unknown/Mosquito-Culex,10954,10969
CSU4522/2013/USA/CO/FC/SE/unknown/unknown/Mosquito-Culex,10882,10969
CSU4523/2013/USA/CO/FC/SE/unknown/unknown/Mosquito-Culex,10690,10969
CSU4535/2013/USA/CO/FC/NE/unknown/unknown/Mosquito-Culex,10959,10969
CSU4543/2013/USA/CO/FC/NE/unknown/unknown/Mosquito-Culex,10884,10969
CSU4556/2013/USA/CO/LV/LV/unknown/unknown/Mosquito-Culex,10714,10969
CSU4563/2013/USA/CO/LV/LV/unknown/unknown/Mosquito-Culex,10671,10969
CSU4566/2013/USA/CO/LV/LV/unknown/unknown/Mosquito-Culex,10715,10969
CSU4588/2013/USA/CO/LV/LV/unknown/unknown/Mosquito-Culex,10883,10969
CSU4589/2013/USA/CO/LV/LV/unknown/unknown/Mosquito-Culex,10505,10514
CSU4592/2013/USA/CO/FC/NW/unknown/unknown/Mosquito-Culex,10278,10969
CSU4593/2013/USA/CO/FC/NW/unknown/unknown/Mosquito-Culex,10099,10969
CSU4598/2013/USA/CO/FC/SE/unknown/unknown/Mosquito-Culex,10828,10969
CSU4601/2013/USA/CO/FC/SE/unknown/unknown/Mosquito-Culex,10880,10969
CSU4607/2013/USA/CO/FC/SE/unknown/unknown/Mosquito-Culex,10795,10969
CSU4626/2013/USA/CO/FC/SE/unknown/unknown/Mosquito-Culex,10955,10969
CSU4629/2013/USA/CO/FC/SE/unknown/unknown/Mosquito-Culex,10503,10514
CSU4632/2013/USA/CO/FC/SE/unknown/unknown/Mosquito-Culex,10716,10969
CSU4639/2013/USA/CO/FC/SE/unknown/unknown/Mosquito-Culex,10378,10969
CSU4641/2013/USA/CO/FC/SE/unknown/unknown/Mosquito-Culex,10718,10969
